Data,Regione,Cumulati positivi,Nuovi positivi,Deceduti,Nuovi morti,Attualmente positivi,Attualmente ricoverati,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Dimessi guariti,Tamponi
Date,Region,Cumulative Positive ,New positives,Deceased,New dead,Currently positive ,Currently hospitalized,Hospitalized with symptoms,Intensive care,Home isolation,Discharged healed,Swabs
4/11/2020,Lombardia,57592,1544,10511,273,30258,13200,12026,1174,17058,16823,196302
4/11/2020,Liguria,5376,185,734,25,3333,1149,1003,146,2184,1309,20888
4/11/2020,Piemonte,16008,996,1633,101,12170,3819,3435,384,8351,2205,62577
4/11/2020,Valle d'Aosta,902,23,107,0,590,135,118,17,455,205,3464
4/11/2020,Emilia-Romagna,19635,507,2481,84,13495,3871,3530,341,9624,3659,91759
4/11/2020,Friuli Venezia Giulia,2393,44,185,6,1382,200,172,28,1182,826,29685
4/11/2020,Veneto,13768,347,831,38,10749,1716,1465,251,9033,2188,190912
4/11/2020,Trentino-Alto Adige,4927,156,484,18,3333,699,581,118,2634,1110,38832
4/11/2020,Lazio,4723,140,273,10,3730,1467,1264,203,2263,720,65241
4/11/2020,Marche,5211,127,689,7,3231,1078,960,118,2153,1291,20060
4/11/2020,Toscana,6958,231,467,13,5992,1234,997,237,4758,499,75756
4/11/2020,Umbria,1309,7,52,0,723,176,137,39,547,534,17661
4/11/2020,Abruzzo,2120,106,206,8,1724,369,315,54,1355,190,19441
4/11/2020,Basilicata,312,4,17,2,281,72,60,12,209,14,4050
4/11/2020,Calabria,915,14,66,1,792,184,169,15,608,57,17493
4/11/2020,Campania,3517,75,238,7,3002,667,582,85,2335,277,33781
4/11/2020,Molise,246,3,14,1,193,32,28,4,161,39,2201
4/11/2020,Puglia,2904,95,253,15,2402,700,627,73,1702,249,29463
4/11/2020,Sardegna,1091,28,73,4,888,137,113,24,751,130,10120
4/11/2020,Sicilia,2364,62,154,6,2001,620,562,58,1381,209,33787
4/11/2020,NA,152271,4694,19468,619,100269,31525,28144,3381,68744,32534,963473
4/10/2020,Lombardia,56048,1246,10238,216,29530,13079,11877,1202,16451,16280,186325
4/10/2020,Liguria,5191,171,709,27,3301,1227,1076,151,2074,1181,19514
4/10/2020,Piemonte,15012,490,1532,78,11576,3891,3497,394,7685,1904,57457
4/10/2020,Valle d'Aosta,879,11,107,2,602,147,131,16,455,170,3328
4/10/2020,Emilia-Romagna,19128,451,2397,81,13350,3945,3596,349,9405,3381,85884
4/10/2020,Friuli Venezia Giulia,2349,50,179,8,1398,200,167,33,1198,772,28097
4/10/2020,Veneto,13421,488,793,37,10647,1778,1521,257,8869,1981,180700
4/10/2020,Trentino-Alto Adige,4771,160,466,11,3311,721,593,128,2590,994,35847
4/10/2020,Lazio,4583,154,263,10,3633,1437,1236,201,2196,687,61769
4/10/2020,Marche,5084,129,682,13,3316,1052,925,127,2264,1086,18970
4/10/2020,Toscana,6727,175,454,46,5822,1267,1011,256,4555,451,72001
4/10/2020,Umbria,1302,4,52,1,752,185,146,39,567,498,16325
4/10/2020,Abruzzo,2014,83,198,4,1635,358,305,53,1277,181,18088
4/10/2020,Basilicata,308,5,15,0,279,74,59,15,205,14,3696
4/10/2020,Calabria,901,27,65,4,786,182,168,14,604,50,16637
4/10/2020,Campania,3442,98,231,4,2963,690,600,90,2273,248,31745
4/10/2020,Molise,243,9,13,0,193,32,28,4,161,37,2069
4/10/2020,Puglia,2809,93,238,13,2336,711,631,80,1625,235,27812
4/10/2020,Sardegna,1063,37,69,5,876,133,107,26,743,118,9444
4/10/2020,Sicilia,2302,70,148,10,1967,630,568,62,1337,187,31156
4/10/2020,NA,147577,3951,18849,570,98273,31739,28242,3497,66534,30455,906864
4/9/2020,Lombardia,54802,1388,10022,300,29074,13032,11796,1236,16042,15706,176953
4/9/2020,Liguria,5020,114,682,28,3253,1257,1103,154,1996,1085,18446
4/9/2020,Piemonte,14522,639,1454,76,11336,3926,3514,412,7410,1732,52807
4/9/2020,Valle d'Aosta,868,18,105,3,609,136,118,18,473,154,3142
4/9/2020,Emilia-Romagna,18677,443,2316,82,13258,4077,3722,355,9181,3103,81715
4/9/2020,Friuli Venezia Giulia,2299,81,171,2,1390,204,167,37,1186,738,26205
4/9/2020,Veneto,12933,523,756,20,10449,1804,1530,274,8645,1728,171456
4/9/2020,Trentino-Alto Adige,4611,174,455,17,3293,741,608,133,2552,863,34213
4/9/2020,Lazio,4429,163,253,9,3532,1442,1244,198,2090,644,58107
4/9/2020,Marche,4955,96,669,17,3401,1078,945,133,2323,885,18194
4/9/2020,Toscana,6552,173,408,16,5703,1294,1038,256,4409,441,65461
4/9/2020,Umbria,1298,9,51,1,792,192,154,38,600,455,15170
4/9/2020,Abruzzo,1931,72,194,15,1566,363,306,57,1203,171,16847
4/9/2020,Basilicata,303,6,15,1,275,67,50,17,208,13,3474
4/9/2020,Calabria,874,15,61,1,765,183,168,15,582,48,15698
4/9/2020,Campania,3344,76,227,6,2873,698,604,94,2175,244,29664
4/9/2020,Molise,234,8,13,0,189,34,30,4,155,32,2069
4/9/2020,Puglia,2716,82,225,6,2301,716,630,86,1585,190,26088
4/9/2020,Sardegna,1026,51,64,5,876,131,106,25,745,86,8918
4/9/2020,Sicilia,2232,73,138,5,1942,629,566,63,1313,152,28742
4/9/2020,NA,143626,4204,18279,610,96877,32004,28399,3605,64873,28470,853369
4/8/2020,Lombardia,53414,1089,9722,238,28545,12976,11719,1257,15569,15147,167557
4/8/2020,Liguria,4906,149,654,34,3245,1262,1109,153,1983,1007,17521
4/8/2020,Piemonte,13883,540,1378,59,10989,3916,3493,423,7073,1516,48495
4/8/2020,Valle d'Aosta,850,15,102,2,606,140,120,20,466,142,2953
4/8/2020,Emilia-Romagna,18234,409,2234,54,13110,4130,3769,361,8980,2890,78367
4/8/2020,Friuli Venezia Giulia,2218,65,169,5,1415,203,162,41,1212,634,24798
4/8/2020,Veneto,12410,485,736,41,10171,1839,1554,285,8332,1503,163247
4/8/2020,Trentino-Alto Adige,4437,150,438,20,3221,764,622,142,2457,778,32123
4/8/2020,Lazio,4266,117,244,6,3448,1437,1241,196,2011,574,55113
4/8/2020,Marche,4859,149,652,22,3562,1107,974,133,2455,645,17532
4/8/2020,Toscana,6379,206,392,23,5557,1326,1066,260,4231,430,60985
4/8/2020,Umbria,1289,26,50,1,823,196,155,41,627,416,14105
4/8/2020,Abruzzo,1859,60,179,7,1534,393,331,62,1141,146,15846
4/8/2020,Basilicata,297,6,14,0,270,65,48,17,205,13,3296
4/8/2020,Calabria,859,26,60,0,755,185,170,15,570,44,14977
4/8/2020,Campania,3268,120,221,5,2859,705,608,97,2154,188,27784
4/8/2020,Molise,226,2,13,0,181,34,30,4,147,32,2002
4/8/2020,Puglia,2634,120,219,10,2238,729,639,90,1509,177,24493
4/8/2020,Sardegna,975,40,59,7,840,143,112,31,697,76,8493
4/8/2020,Sicilia,2159,62,133,8,1893,628,563,65,1265,133,27438
4/8/2020,NA,139422,3836,17669,542,95262,32178,28485,3693,63084,26491,807125
4/7/2020,Lombardia,52325,791,9484,282,28343,13138,11833,1305,15205,14498,159331
4/7/2020,Liguria,4757,208,620,25,3212,1246,1090,156,1966,925,16579
4/7/2020,Piemonte,13343,419,1319,68,10704,3985,3553,432,6719,1320,44121
4/7/2020,Valle d'Aosta,835,30,100,4,593,135,118,17,458,142,2754
4/7/2020,Emilia-Romagna,17825,269,2180,72,13048,4116,3750,366,8932,2597,75191
4/7/2020,Friuli Venezia Giulia,2153,50,164,6,1379,229,185,44,1150,610,23536
4/7/2020,Veneto,11925,337,695,33,9965,1876,1579,297,8089,1265,153542
4/7/2020,Trentino-Alto Adige,4287,217,418,24,3191,827,685,142,2364,678,29791
4/7/2020,Lazio,4149,118,238,9,3365,1421,1229,192,1944,546,48874
4/7/2020,Marche,4710,96,630,18,3738,1101,962,139,2637,342,16619
4/7/2020,Toscana,6173,172,369,19,5427,1350,1087,263,4077,377,56651
4/7/2020,Umbria,1263,10,49,5,846,198,157,41,648,368,13274
4/7/2020,Abruzzo,1799,78,172,3,1491,404,337,67,1087,136,14904
4/7/2020,Basilicata,291,4,14,1,265,64,47,17,201,12,3160
4/7/2020,Calabria,833,16,60,2,733,183,169,14,550,40,14072
4/7/2020,Campania,3148,90,216,12,2765,706,603,103,2059,167,25779
4/7/2020,Molise,224,0,13,0,185,40,35,5,145,26,1581
4/7/2020,Puglia,2514,70,209,14,2137,708,615,93,1429,168,23149
4/7/2020,Sardegna,935,13,52,5,821,148,122,26,673,62,7680
4/7/2020,Sicilia,2097,51,125,2,1859,635,562,73,1224,113,24857
4/7/2020,NA,135586,3039,17127,604,94067,32510,28718,3792,61557,24392,755445
4/6/2020,Lombardia,51534,1079,9202,297,28469,13257,11914,1343,15212,13863,154989
4/6/2020,Liguria,4549,100,595,39,3117,1303,1141,162,1814,837,15533
4/6/2020,Piemonte,12924,562,1251,83,10545,3922,3484,438,6623,1128,41123
4/6/2020,Valle d'Aosta,805,23,96,5,567,130,109,21,437,142,2590
4/6/2020,Emilia-Romagna,17556,467,2108,57,13051,4176,3804,372,8875,2397,72163
4/6/2020,Friuli Venezia Giulia,2103,55,158,4,1396,235,189,46,1161,549,22272
4/6/2020,Veneto,11588,362,662,31,9722,2036,1714,322,7686,1204,146288
4/6/2020,Trentino-Alto Adige,4070,141,394,19,3098,730,599,131,2368,578,27955
4/6/2020,Lazio,4031,151,229,10,3300,1432,1235,197,1868,502,47470
4/6/2020,Marche,4614,150,612,13,3706,1141,1001,140,2565,296,15919
4/6/2020,Toscana,6001,154,350,25,5301,1395,1116,279,3906,350,52849
4/6/2020,Umbria,1253,14,44,1,872,205,159,46,667,337,12573
4/6/2020,Abruzzo,1721,18,169,11,1425,406,340,66,1019,127,14198
4/6/2020,Basilicata,287,9,13,0,262,64,46,18,198,12,3061
4/6/2020,Calabria,817,22,58,2,722,184,170,14,538,37,13633
4/6/2020,Campania,3058,98,204,15,2698,711,610,101,1987,156,24526
4/6/2020,Molise,224,0,13,0,187,39,34,5,148,24,1546
4/6/2020,Puglia,2444,127,195,13,2115,722,625,97,1393,134,22059
4/6/2020,Sardegna,922,15,47,4,819,149,123,26,670,56,7521
4/6/2020,Sicilia,2046,52,123,7,1815,637,563,74,1178,108,23464
4/6/2020,NA,132547,3599,16523,636,93187,32874,28976,3898,60313,22837,721732
4/5/2020,Lombardia,50455,1337,8905,249,28124,13326,12009,1317,14798,13426,149984
4/5/2020,Liguria,4449,246,556,14,3093,1291,1126,165,1802,800,15047
4/5/2020,Piemonte,12362,653,1168,40,10177,3916,3472,444,6261,1017,38539
4/5/2020,Valle d'Aosta,782,34,91,9,576,119,96,23,457,115,2390
4/5/2020,Emilia-Romagna,17089,549,2051,74,12837,4214,3839,375,8623,2201,69986
4/5/2020,Friuli Venezia Giulia,2048,62,154,9,1363,235,185,50,1128,531,21652
4/5/2020,Veneto,11226,402,631,24,9409,2003,1674,329,7406,1186,140910
4/5/2020,Trentino-Alto Adige,3929,117,375,19,3021,724,591,133,2297,533,26199
4/5/2020,Lazio,3880,123,219,7,3186,1432,1235,197,1754,475,44658
4/5/2020,Marche,4464,123,599,25,3578,1138,987,151,2440,287,15252
4/5/2020,Toscana,5847,176,325,18,5185,1387,1111,276,3798,337,51006
4/5/2020,Umbria,1239,29,43,2,898,204,159,45,694,298,12448
4/5/2020,Abruzzo,1703,75,158,5,1420,414,347,67,1006,125,13598
4/5/2020,Basilicata,278,14,13,2,254,64,46,18,190,11,2931
4/5/2020,Calabria,795,54,56,7,706,187,174,13,519,33,13077
4/5/2020,Campania,2960,132,189,3,2621,717,609,108,1904,150,23139
4/5/2020,Molise,224,18,13,2,187,39,33,6,148,24,1504
4/5/2020,Puglia,2317,77,182,9,2022,733,574,159,1289,113,20080
4/5/2020,Sardegna,907,33,43,2,815,151,126,25,664,49,7157
4/5/2020,Sicilia,1994,62,116,5,1774,632,556,76,1142,104,21904
4/5/2020,NA,128948,4316,15887,525,91246,32926,28949,3977,58320,21815,691461
4/4/2020,Lombardia,49118,1598,8656,345,27220,13328,12002,1326,13892,13242,141877
4/4/2020,Liguria,4203,238,542,23,2894,1290,1121,169,1604,767,14087
4/4/2020,Piemonte,11709,813,1128,85,9693,3891,3441,450,5802,888,37181
4/4/2020,Valle d'Aosta,748,29,82,12,560,86,63,23,474,106,2274
4/4/2020,Emilia-Romagna,16540,608,1977,75,12523,4217,3859,358,8306,2040,67075
4/4/2020,Friuli Venezia Giulia,1986,107,145,9,1336,233,183,50,1103,505,21126
4/4/2020,Veneto,10824,360,607,35,9093,2015,1691,324,7078,1124,133289
4/4/2020,Trentino-Alto Adige,3812,144,356,13,2954,786,644,142,2168,502,24908
4/4/2020,Lazio,3757,157,212,13,3106,1429,1236,193,1677,439,44624
4/4/2020,Marche,4341,111,574,17,3497,1150,997,153,2347,270,14472
4/4/2020,Toscana,5671,172,307,17,5054,1415,1129,286,3639,310,47886
4/4/2020,Umbria,1210,31,41,2,927,211,167,44,716,242,11809
4/4/2020,Abruzzo,1628,65,153,7,1356,425,354,71,931,119,12837
4/4/2020,Basilicata,264,3,11,0,244,63,44,19,181,9,2765
4/4/2020,Calabria,741,8,49,4,662,193,178,15,469,30,12314
4/4/2020,Campania,2828,151,186,5,2496,681,567,114,1815,146,21534
4/4/2020,Molise,206,30,11,0,171,37,31,6,134,24,1504
4/4/2020,Puglia,2240,58,173,9,1973,780,627,153,1193,94,18977
4/4/2020,Sardegna,874,49,41,0,789,147,123,24,642,44,6789
4/4/2020,Sicilia,1932,73,111,10,1726,627,553,74,1099,95,19896
4/4/2020,NA,124632,4805,15362,681,88274,33004,29010,3994,55270,20996,657224
4/3/2020,Lombardia,47520,1455,8311,351,26189,13183,11802,1381,13006,13020,135051
4/3/2020,Liguria,3965,183,519,31,2746,1320,1147,173,1426,700,12934
4/3/2020,Piemonte,10896,543,1043,60,9130,3752,3300,452,5378,723,34281
4/3/2020,Valle d'Aosta,719,51,70,7,560,110,85,25,450,89,2106
4/3/2020,Emilia-Romagna,15932,599,1902,91,12178,4279,3915,364,7899,1852,63682
4/3/2020,Friuli Venezia Giulia,1879,80,136,7,1324,262,201,61,1062,419,19985
4/3/2020,Veneto,10464,353,572,40,8861,2049,1714,335,6812,1031,126490
4/3/2020,Trentino-Alto Adige,3668,186,343,27,2868,774,634,140,2094,457,22969
4/3/2020,Lazio,3600,167,199,14,3009,1382,1194,188,1627,392,43776
4/3/2020,Marche,4230,132,557,54,3631,1140,982,158,2491,42,13678
4/3/2020,Toscana,5499,226,290,22,4909,1437,1149,288,3472,300,44460
4/3/2020,Umbria,1179,51,39,1,920,213,165,48,707,220,10614
4/3/2020,Abruzzo,1563,66,146,13,1301,437,361,76,864,116,11890
4/3/2020,Basilicata,261,15,11,1,247,60,41,19,187,3,2622
4/3/2020,Calabria,733,42,45,4,662,200,183,17,462,26,11608
4/3/2020,Campania,2677,221,181,14,2352,647,532,115,1705,144,19237
4/3/2020,Molise,176,11,11,0,144,39,31,8,105,21,1378
4/3/2020,Puglia,2182,105,164,20,1949,771,648,123,1178,69,17924
4/3/2020,Sardegna,825,31,41,1,744,146,122,24,598,40,6478
4/3/2020,Sicilia,1859,68,101,8,1664,608,535,73,1056,94,18686
4/3/2020,NA,119827,4585,14681,766,85388,32809,28741,4068,52579,19758,619849
4/2/2020,Lombardia,46065,1292,7960,367,25876,13113,11762,1351,12763,12229,128286
4/2/2020,Liguria,3782,122,488,28,2660,1292,1120,172,1368,634,12069
4/2/2020,Piemonte,10353,558,983,97,8799,3794,3341,453,5005,571,32100
4/2/2020,Valle d'Aosta,668,37,63,4,556,110,85,25,446,49,1934
4/2/2020,Emilia-Romagna,15333,546,1811,79,11859,4310,3944,366,7549,1663,60507
4/2/2020,Friuli Venezia Giulia,1799,114,129,7,1294,259,199,60,1035,376,17121
4/2/2020,Veneto,10111,486,532,33,8578,2015,1670,345,6563,1001,120320
4/2/2020,Trentino-Alto Adige,3482,194,316,27,2747,756,618,138,1991,419,21173
4/2/2020,Lazio,3433,169,185,16,2879,1350,1169,181,1529,369,41575
4/2/2020,Marche,4098,136,503,26,3555,1150,986,164,2405,40,12943
4/2/2020,Toscana,5273,406,268,15,4789,1430,1135,295,3359,216,40724
4/2/2020,Umbria,1128,33,38,1,885,218,171,47,667,205,9737
4/2/2020,Abruzzo,1497,61,133,10,1251,416,341,75,835,113,10647
4/2/2020,Basilicata,246,9,10,1,233,57,38,19,176,3,2427
4/2/2020,Calabria,691,22,41,3,627,182,163,19,445,23,10679
4/2/2020,Campania,2456,225,167,19,2140,623,503,120,1517,149,17404
4/2/2020,Molise,165,5,11,1,133,38,30,8,95,21,1229
4/2/2020,Puglia,2077,131,144,15,1864,763,645,118,1101,69,16554
4/2/2020,Sardegna,794,49,40,6,718,141,117,24,577,36,5970
4/2/2020,Sicilia,1791,73,93,5,1606,576,503,73,1030,92,17833
4/2/2020,NA,115242,4668,13915,760,83049,32593,28540,4053,50456,18278,581232
4/1/2020,Lombardia,44773,1565,7593,394,25765,13269,11927,1342,12496,11415,121449
4/1/2020,Liguria,3660,244,460,32,2645,1293,1114,179,1352,555,11334
4/1/2020,Piemonte,9795,494,886,32,8470,3599,3146,453,4871,439,30060
4/1/2020,Valle d'Aosta,631,3,59,3,540,112,85,27,428,32,1717
4/1/2020,Emilia-Romagna,14787,713,1732,88,11489,4257,3898,359,7232,1566,58457
4/1/2020,Friuli Venezia Giulia,1685,92,122,9,1206,266,206,60,940,357,15987
4/1/2020,Veneto,9625,470,499,22,8224,2068,1718,350,6156,902,112746
4/1/2020,Trentino-Alto Adige,3288,171,289,49,2595,747,614,133,1848,404,19626
4/1/2020,Lazio,3264,169,169,7,2758,1308,1131,177,1450,337,35810
4/1/2020,Marche,3962,137,477,25,3456,1152,984,168,2304,29,12296
4/1/2020,Toscana,4867,259,253,9,4432,1417,1120,297,3015,182,36575
4/1/2020,Umbria,1095,17,37,0,864,218,173,45,646,194,9080
4/1/2020,Abruzzo,1436,35,123,8,1211,413,342,71,798,102,9610
4/1/2020,Basilicata,237,11,9,2,225,54,39,15,171,3,2262
4/1/2020,Calabria,669,10,38,2,610,160,144,16,450,21,9983
4/1/2020,Campania,2231,139,148,15,1976,607,478,129,1369,107,15728
4/1/2020,Molise,160,16,10,1,131,40,32,8,91,19,1157
4/1/2020,Puglia,1946,143,129,19,1756,744,637,107,1012,61,15209
4/1/2020,Sardegna,745,23,34,3,675,146,119,27,529,36,5501
4/1/2020,Sicilia,1718,71,88,7,1544,568,496,72,976,86,16836
4/1/2020,NA,110574,4782,13155,727,80572,32438,28403,4035,48134,16847,541423
3/31/2020,Lombardia,43208,1047,7199,381,25124,13207,11883,1324,11917,10885,114640
3/31/2020,Liguria,3416,199,428,31,2508,1332,1153,179,1176,480,10376
3/31/2020,Piemonte,9301,589,854,105,8082,3626,3174,452,4456,365,27658
3/31/2020,Valle d'Aosta,628,44,56,6,552,117,91,26,435,20,1582
3/31/2020,Emilia-Romagna,14074,543,1644,106,10953,4118,3765,353,6835,1477,54532
3/31/2020,Friuli Venezia Giulia,1593,92,113,6,1160,275,215,60,885,320,14899
3/31/2020,Veneto,9155,431,477,64,7850,2036,1680,356,5814,828,106238
3/31/2020,Trentino-Alto Adige,3117,110,240,19,2531,745,603,142,1786,346,18248
3/31/2020,Lazio,3095,181,162,12,2642,1300,1127,173,1342,291,34677
3/31/2020,Marche,3825,141,452,35,3352,1115,946,169,2237,21,11724
3/31/2020,Toscana,4608,196,244,13,4226,1413,1120,293,2813,138,33165
3/31/2020,Umbria,1078,27,37,4,851,219,176,43,632,190,8685
3/31/2020,Abruzzo,1401,56,115,13,1191,408,335,73,783,95,8758
3/31/2020,Basilicata,226,12,7,2,216,54,37,17,162,3,2043
3/31/2020,Calabria,659,12,36,5,606,149,132,17,457,17,9327
3/31/2020,Campania,2092,140,133,8,1871,634,501,133,1237,88,14403
3/31/2020,Molise,144,10,9,0,117,37,29,8,80,18,1049
3/31/2020,Puglia,1803,91,110,19,1654,714,609,105,940,39,14073
3/31/2020,Sardegna,722,40,31,3,657,141,113,28,516,34,5257
3/31/2020,Sicilia,1647,92,81,5,1492,575,503,72,917,74,15634
3/31/2020,NA,105792,4053,12428,837,77635,32215,28192,4023,45420,15729,506968
3/30/2020,Lombardia,42161,1154,6818,458,25006,13145,11815,1330,11861,10337,111057
3/30/2020,Liguria,3217,141,397,20,2383,1317,1142,175,1066,437,9677
3/30/2020,Piemonte,8712,506,749,65,7655,3437,2985,452,4218,308,25478
3/30/2020,Valle d'Aosta,584,0,50,7,518,118,92,26,400,16,1536
3/30/2020,Emilia-Romagna,13531,412,1538,95,10766,4130,3779,351,6636,1227,50990
3/30/2020,Friuli Venezia Giulia,1501,21,107,9,1109,289,229,60,820,285,14003
3/30/2020,Veneto,8724,366,413,21,7564,1989,1633,356,5575,747,99941
3/30/2020,Trentino-Alto Adige,3007,199,221,28,2455,724,584,140,1731,331,17017
3/30/2020,Lazio,2914,208,150,14,2497,1233,1079,154,1264,267,32846
3/30/2020,Marche,3684,126,417,31,3251,1165,998,167,2086,16,10979
3/30/2020,Toscana,4412,290,231,16,4050,1395,1116,279,2655,131,30099
3/30/2020,Umbria,1051,28,33,2,834,220,173,47,614,184,8150
3/30/2020,Abruzzo,1345,52,102,14,1169,391,322,69,778,74,7948
3/30/2020,Basilicata,214,12,5,1,208,54,36,18,154,1,1833
3/30/2020,Calabria,647,33,31,6,602,148,130,18,454,14,9013
3/30/2020,Campania,1952,193,125,8,1739,594,468,126,1145,88,12969
3/30/2020,Molise,134,7,9,0,107,35,27,8,72,18,955
3/30/2020,Puglia,1712,163,91,5,1585,696,590,106,889,36,13117
3/30/2020,Sardegna,682,44,28,1,622,137,113,24,485,32,4993
3/30/2020,Sicilia,1555,95,76,11,1408,559,484,75,849,71,14758
3/30/2020,NA,101739,4050,11591,812,75528,31776,27795,3981,43752,14620,477359
3/29/2020,Lombardia,41007,1592,6360,416,25392,12941,11613,1328,12451,9255,107398
3/29/2020,Liguria,3076,254,377,19,2279,1243,1077,166,1036,420,9100
3/29/2020,Piemonte,8206,535,684,67,7268,3428,2985,443,3840,254,24058
3/29/2020,Valle d'Aosta,584,73,43,2,539,116,90,26,423,2,1480
3/29/2020,Emilia-Romagna,13119,736,1443,99,10535,4102,3769,333,6433,1141,52991
3/29/2020,Friuli Venezia Giulia,1480,44,98,11,1141,296,236,60,845,241,13397
3/29/2020,Veneto,8358,428,392,30,7251,1941,1586,355,5310,715,94784
3/29/2020,Trentino-Alto Adige,2808,194,193,9,2327,721,590,131,1606,288,16087
3/29/2020,Lazio,2706,201,136,12,2362,1195,1062,133,1167,208,27744
3/29/2020,Marche,3558,185,386,22,3160,1168,1000,168,1992,12,10431
3/29/2020,Toscana,4122,305,215,17,3786,1386,1111,275,2400,121,27579
3/29/2020,Umbria,1023,54,31,3,897,212,166,46,685,95,7685
3/29/2020,Abruzzo,1293,160,88,12,1169,397,329,68,772,36,7730
3/29/2020,Basilicata,202,20,4,1,197,50,32,18,147,1,1585
3/29/2020,Calabria,614,59,25,4,577,143,124,19,434,12,8485
3/29/2020,Campania,1759,167,117,8,1556,611,476,135,945,86,11805
3/29/2020,Molise,127,4,9,0,100,34,25,9,66,18,918
3/29/2020,Puglia,1549,91,86,15,1432,658,559,99,774,31,12361
3/29/2020,Sardegna,638,14,27,1,582,128,105,23,454,29,4598
3/29/2020,Sicilia,1460,101,65,8,1330,522,451,71,808,65,13814
3/29/2020,NA,97689,5217,10779,756,73880,31292,27386,3906,42588,13030,454030
3/28/2020,Lombardia,39415,2117,5944,542,24509,12471,11152,1319,12038,8962,102503
3/28/2020,Liguria,2822,126,358,27,2086,1198,1031,167,888,378,8177
3/28/2020,Piemonte,7671,579,617,48,6851,3533,3094,439,3318,203,21511
3/28/2020,Valle d'Aosta,511,59,41,4,468,116,90,26,352,2,1380
3/28/2020,Emilia-Romagna,12383,795,1344,77,9964,4011,3695,316,5953,1075,52991
3/28/2020,Friuli Venezia Giulia,1436,119,87,11,1120,282,223,59,838,229,12723
3/28/2020,Veneto,7930,433,362,49,6913,1903,1559,344,5010,655,89380
3/28/2020,Trentino-Alto Adige,2614,220,184,22,2163,699,576,123,1464,267,14729
3/28/2020,Lazio,2505,210,124,6,2181,1118,985,133,1063,200,27179
3/28/2020,Marche,3373,177,364,28,2999,1153,987,166,1846,10,9884
3/28/2020,Toscana,3817,367,198,21,3511,1370,1093,277,2141,108,25613
3/28/2020,Umbria,969,85,28,7,898,203,159,44,695,43,7028
3/28/2020,Abruzzo,1133,116,76,8,1027,381,311,70,646,30,7003
3/28/2020,Basilicata,182,31,3,0,178,45,26,19,133,1,1421
3/28/2020,Calabria,555,61,21,3,523,129,107,22,394,11,7760
3/28/2020,Campania,1592,138,109,11,1407,595,463,132,812,76,10616
3/28/2020,Molise,123,14,9,0,98,35,26,9,63,16,807
3/28/2020,Puglia,1458,124,71,2,1358,661,563,98,697,29,11500
3/28/2020,Sardegna,624,94,26,5,569,117,95,22,452,29,4225
3/28/2020,Sicilia,1359,109,57,18,1242,512,441,71,730,60,13096
3/28/2020,NA,92472,5974,10023,889,70065,30532,26676,3856,39533,12384,429526
3/27/2020,Lombardia,37298,2409,5402,541,23895,12429,11137,1292,11466,8001,95860
3/27/2020,Liguria,2696,129,331,51,2060,1180,1023,157,880,305,7804
3/27/2020,Piemonte,7092,558,569,120,6347,3283,2852,431,3064,176,19705
3/27/2020,Valle d'Aosta,452,44,37,9,413,115,91,24,298,2,1252
3/27/2020,Emilia-Romagna,11588,772,1267,93,9361,3769,3461,308,5592,960,47798
3/27/2020,Friuli Venezia Giulia,1317,94,76,4,1027,279,222,57,748,214,11841
3/27/2020,Veneto,7497,562,313,26,6648,1874,1536,338,4774,536,83627
3/27/2020,Trentino-Alto Adige,2394,191,162,28,1997,701,590,111,1296,235,13443
3/27/2020,Lazio,2295,199,118,12,2013,1118,992,126,895,164,24106
3/27/2020,Marche,3196,82,336,26,2850,1141,979,162,1709,10,9060
3/27/2020,Toscana,3450,224,177,19,3170,1327,1053,274,1843,103,23746
3/27/2020,Umbria,884,82,21,1,824,195,149,46,629,39,6137
3/27/2020,Abruzzo,1017,71,68,5,925,360,289,71,565,24,6109
3/27/2020,Basilicata,151,17,3,2,147,37,22,15,110,1,1254
3/27/2020,Calabria,494,101,18,4,469,125,103,22,344,7,6901
3/27/2020,Campania,1454,144,98,15,1292,569,456,113,723,64,9613
3/27/2020,Molise,109,6,9,1,86,35,26,9,51,14,710
3/27/2020,Puglia,1334,152,69,4,1236,612,530,82,624,29,10233
3/27/2020,Sardegna,530,36,21,2,496,112,93,19,384,13,3801
3/27/2020,Sicilia,1250,86,39,6,1158,500,425,75,658,53,11079
3/27/2020,NA,86498,5959,9134,969,66414,29761,26029,3732,36653,10950,394079
3/26/2020,Lombardia,34889,2543,4861,387,22189,11944,10681,1263,10245,7839,87713
3/26/2020,Liguria,2567,262,280,26,2027,1152,998,154,875,260,7304
3/26/2020,Piemonte,6534,510,449,0,5950,3041,2633,408,2909,135,18054
3/26/2020,Valle d'Aosta,408,7,28,4,378,97,73,24,281,2,1203
3/26/2020,Emilia-Romagna,10816,762,1174,97,8850,3655,3354,301,5195,792,42395
3/26/2020,Friuli Venezia Giulia,1223,84,72,2,954,266,212,54,688,197,10721
3/26/2020,Veneto,6935,493,287,29,6140,1773,1447,326,4367,508,79759
3/26/2020,Trentino-Alto Adige,2203,123,134,17,1885,632,523,109,1253,184,12344
3/26/2020,Lazio,2096,195,106,11,1835,991,878,113,844,155,22771
3/26/2020,Marche,3114,180,310,23,2795,1143,977,166,1652,9,8623
3/26/2020,Toscana,3226,254,158,16,2973,1296,1037,259,1677,95,20952
